,Country,Continent
0,Algeria,Africa
1,Angola,Africa
2,Benin,Africa
3,Botswana,Africa
4,Burkina Faso,Africa
5,Burundi,Africa
6,Cameroon,Africa
7,Cabo Verde,Africa
8,Central African Republic,Africa
9,Chad,Africa
10,Comoros,Africa
11,"Congo, Democratic Republic of",Africa
12,Djibouti,Africa
13,Egypt,Africa
14,Equatorial Guinea,Africa
15,Eritrea,Africa
16,Ethiopia,Africa
17,Gabon,Africa
18,Gambia,Africa
19,Ghana,Africa
20,Guinea,Africa
21,Guinea-Bissau,Africa
22,Côte d'Ivoire,Africa
23,Kenya,Africa
24,Lesotho,Africa
25,Liberia,Africa
26,Libya,Africa
27,Madagascar,Africa
28,Malawi,Africa
29,Mali,Africa
30,Mauritania,Africa
31,Mauritius,Africa
32,Morocco,Africa
33,Mozambique,Africa
34,Namibia,Africa
35,Niger,Africa
36,Nigeria,Africa
37,Rwanda,Africa
38,São Tomé and Príncipe,Africa
39,Senegal,Africa
40,Seychelles,Africa
41,Sierra Leone,Africa
42,Somalia,Africa
43,South Africa,Africa
44,South Sudan,Africa
45,Sudan,Africa
46,Swaziland,Africa
47,Tanzania,Africa
48,Togo,Africa
49,Tunisia,Africa
50,Uganda,Africa
51,Western Sahara,Africa
52,Zambia,Africa
53,Zimbabwe,Africa
54,Afghanistan,Asia
55,Bahrain,Asia
56,Bangladesh,Asia
57,Bhutan,Asia
58,Brunei,Asia
59,Myanmar,Asia
60,Cambodia,Asia
61,China,Asia
62,East Timor,Asia
63,India,Asia
64,Indonesia,Asia
65,Iran,Asia
66,Iraq,Asia
67,Israel,Asia
68,Japan,Asia
69,Jordan,Asia
70,Kazakhstan,Asia
71,"Korea, North",Asia
72,"Korea, South",Asia
73,Kuwait,Asia
74,Kyrgyzstan,Asia
75,Laos,Asia
76,Lebanon,Asia
77,Malaysia,Asia
78,Maldives,Asia
79,Mongolia,Asia
80,Nepal,Asia
81,Oman,Asia
82,Pakistan,Asia
83,Palestine,Asia
84,Philippines,Asia
85,Qatar,Asia
86,Russia,Asia
87,Saudi Arabia,Asia
88,Singapore,Asia
89,Sri Lanka,Asia
90,Syria,Asia
91,Taiwan,Asia
92,Tajikistan,Asia
93,Thailand,Asia
94,Turkey,Asia
95,Turkmenistan,Asia
96,United Arab Emirates,Asia
97,Uzbekistan,Asia
98,Vietnam,Asia
99,Yemen,Asia
100,Albania,Europe
101,Andorra,Europe
102,Armenia,Europe
103,Austria,Europe
104,Azerbaijan,Europe
105,Belarus,Europe
106,Belgium,Europe
107,Bosnia and Herzegovina,Europe
108,Bulgaria,Europe
109,Croatia,Europe
110,Cyprus,Europe
111,Czech Republic,Europe
112,Denmark,Europe
113,Estonia,Europe
114,Finland,Europe
115,France,Europe
116,Georgia,Europe
117,Germany,Europe
118,Greece,Europe
119,Hungary,Europe
120,Iceland,Europe
121,Ireland,Europe
122,Italy,Europe
123,Kosovo,Europe
124,Latvia,Europe
125,Liechtenstein,Europe
126,Lithuania,Europe
127,Luxembourg,Europe
128,North Macedonia,Europe
129,Malta,Europe
130,Moldova,Europe
131,Monaco,Europe
132,Montenegro,Europe
133,Netherlands,Europe
134,Norway,Europe
135,Poland,Europe
136,Portugal,Europe
137,Romania,Europe
138,San Marino,Europe
139,Serbia,Europe
140,Slovakia,Europe
141,Slovenia,Europe
142,Spain,Europe
143,Sweden,Europe
144,Switzerland,Europe
145,Ukraine,Europe
146,United Kingdom,Europe
147,Vatican City,Europe
148,Antigua and Barbuda,North America
149,Bahamas,North America
150,Barbados,North America
151,Belize,North America
152,Canada,North America
153,Costa Rica,North America
154,Cuba,North America
155,Dominica,North America
156,Dominican Republic,North America
157,El Salvador,North America
158,Grenada,North America
159,Guatemala,North America
160,Haiti,North America
161,Honduras,North America
162,Jamaica,North America
163,Mexico,North America
164,Nicaragua,North America
165,Panama,North America
166,Saint Kitts and Nevis,North America
167,Saint Lucia,North America
168,Saint Vincent and the Grenadines,North America
169,Trinidad and Tobago,North America
170,United States,North America
171,Australia,Oceania
172,Fiji,Oceania
173,Kiribati,Oceania
174,Marshall Islands,Oceania
175,Federated States of Micronesia,Oceania
176,Nauru,Oceania
177,New Zealand,Oceania
178,Palau,Oceania
179,Papua New Guinea,Oceania
180,Samoa,Oceania
181,Solomon Islands,Oceania
182,Tonga,Oceania
183,Tuvalu,Oceania
184,Vanuatu,Oceania
185,Argentina,South America
186,Bolivia,South America
187,Brazil,South America
188,Chile,South America
189,Colombia,South America
190,Ecuador,South America
191,Guyana,South America
192,Paraguay,South America
193,Peru,South America
194,Suriname,South America
195,Uruguay,South America
196,Venezuela,South America
